price_source_id,rms_index,rms_type,name,unit,min_price,avg_price,max_price,region
00000000-0000-0000-0000-000000000001,"072","ETO","elektromonterzy gr.II","r-g",52,62,72,Poland
00000000-0000-0000-0000-000000000001,"1020100","ETO","Gaz propanowo-butanowy płynny","kg",3.12,3.12,3.12,Poland
00000000-0000-0000-0000-000000000001,"00000","ETO","środek transportu","m-g",75,88,105,Poland
00000000-0000-0000-0000-000000000001,"1100000","ETO","Bednarka walcowana na gorąco 20-70/1,5 - 5 mm","kg",7.56,9.69,11.82,Poland
00000000-0000-0000-0000-000000000001,"1100399","ETO","kształtowniki walcowane - dwuteowniki","kg",4.2,4.95,5.8,Poland
00000000-0000-0000-0000-000000000001,"1100610","ETO","Kształtowniki stalowe walcowane na gorąco, kątowniki nierównoramienne 30x20x3-200x100x12 mm","kg",3,4.75,6.5,Poland
00000000-0000-0000-0000-000000000001,"1101311","ETO","Szyna kolejowa normalnotorowa 49E1 (S49)","t",3605.5,3605.5,3605.5,Poland
00000000-0000-0000-0000-000000000001,"1110199","ETO","Blachy stalowe grube i uniwersalne grub. 3,0-60,0 mm, walcowane na gorąco","kg",4.54,12.3,20.06,Poland
00000000-0000-0000-0000-000000000001,"11111","ETO","Koparko-spycharka lub koparko-ładowarka 0,15 (1)","m-g",77.88,114.53,138,Poland
00000000-0000-0000-0000-000000000001,"11131","ETO","Koparka jednonaczyniowa kołowa 0,25 m3 (1)","m-g",82.34,130.04,145,Poland
00000000-0000-0000-0000-000000000001,"11162","ETO","Koparka jednonaczyniowa g¥sien. 0,40 m3(1)","m-g",87,129.88,146.87,Poland
00000000-0000-0000-0000-000000000001,"11151","ETO","Koparka samochodowa 0,25 m3 (1)","m-g",82.5,109.54,119,Poland
00000000-0000-0000-0000-000000000001,"11163","ETO","Koparka jednonaczyniowa g¥sien. 0,60 m3(1)","m-g",97.5,148,175,Poland
00000000-0000-0000-0000-000000000001,"11166","ETO","Koparka jednonaczyniowa g¥sien. 1,20 m3(1)","m-g",127.5,189.18,232.5,Poland
00000000-0000-0000-0000-000000000001,"11161","ETO","Koparka jednonaczyniowa g¥sien. 0,25 m3(1)","m-g",77.5,112.81,125,Poland
00000000-0000-0000-0000-000000000001,"11133","ETO","Koparka jednonaczyniowa kołowa 0,60 m3 (1)","m-g",105,143.84,178.52,Poland
00000000-0000-0000-0000-000000000001,"11165","ETO","Koparka jednonaczyniowa g¥sien. 1,00 m3(1)","m-g",105,157.74,172.5,Poland
00000000-0000-0000-0000-000000000001,"11169","ETO","Koparka jednonaczyniowa g¥sien. 2,50 m3(1)","m-g",182.5,249.73,274.32,Poland
00000000-0000-0000-0000-000000000001,"11412","ETO","adowarka jednonaczyn. kołowa 1,25 m3 (1)","m-g",89.1,134.52,167.5,Poland
00000000-0000-0000-0000-000000000001,"11336","ETO","Spycharka gasien. 184-221kW [250-300KM](1)","m-g",131.88,279.36,320.63,Poland
00000000-0000-0000-0000-000000000001,"11337","ETO","Spycharka gasien. 283-294kW [385-400KM](1)","m-g",209.73,321.39,341.22,Poland
00000000-0000-0000-0000-000000000001,"11331","ETO","Spycharka gąsienicowa 40 kW (55 KM) (1)","m-g",91.99,103.72,114.9,Poland
00000000-0000-0000-0000-000000000001,"11332","ETO","Spycharka g¥sienicowa 48 kW [65 KM] (1)","m-g",77.5,105.83,117.08,Poland
00000000-0000-0000-0000-000000000001,"11333","ETO","Spycharka g¥sienicowa 55 kW [75 KM] (1)","m-g",83,123.48,138.14,Poland
00000000-0000-0000-0000-000000000001,"11335","ETO","Spycharka gasienicowa 110kW [150KM] (1)","m-g",96.88,191.99,243.13,Poland
00000000-0000-0000-0000-000000000001,"11334","ETO","Spycharka g¥sienicowa 74 kW [100KM] (1)","m-g",95,171.13,232.99,Poland
00000000-0000-0000-0000-000000000001,"11413","ETO","adowarka jednonaczyn. kołowa 2,0 m3 (1)","m-g",91.12,138.72,160,Poland
00000000-0000-0000-0000-000000000001,"11612","ETO","R¢wniarka samojezdna 74 kW [100 KM] (1)","m-g",100,135.71,160.76,Poland
00000000-0000-0000-0000-000000000001,"11511","ETO","Zgarniarka samojezdna 8-10 m3 (1)","m-g",104,128.69,135.5,Poland
00000000-0000-0000-0000-000000000001,"11414","ETO","adowarka jednonaczyn. kołowa 2,50 m3 (1)","m-g",105,147.35,175.35,Poland
00000000-0000-0000-0000-000000000001,"11415","ETO","adowarka jednonacz.kołowa 3,0-3,5 m3 (1)","m-g",116.01,165.11,195.64,Poland
00000000-0000-0000-0000-000000000001,"11512","ETO","Zgarniarka samojezdna 16 m3 (1)","m-g",128.5,154.41,162.47,Poland
00000000-0000-0000-0000-000000000001,"11613","ETO","R¢wniarka samojezdna 88 kW [120 KM] (1)","m-g",108.2,166,210,Poland
00000000-0000-0000-0000-000000000001,"1210010","ETO","Blachy z aluminium - walcowane na zimno","kg",20,35.49,50.98,Poland
00000000-0000-0000-0000-000000000001,"12111","ETO","Walec statyczny samojezdny 4-6 t  (1)","m-g",72.5,105.78,116.5,Poland
00000000-0000-0000-0000-000000000001,"11711","ETO","Zrywarka przyczepna","m-g",7.45,9.36,11,Poland
00000000-0000-0000-0000-000000000001,"12100","ETO","walec statyczny samojezdny","m-g",57.07,117.53,124.16,Poland
00000000-0000-0000-0000-000000000001,"12113","ETO","Walec statyczny samojezdny  10 t  (1)","m-g",75.3,116.7,131.65,Poland
00000000-0000-0000-0000-000000000001,"12115","ETO","Walec statyczny samojezdny  15 t  (1)","m-g",76.25,125.33,147.89,Poland
00000000-0000-0000-0000-000000000001,"12161","ETO","Walec statyczny samojezdny ogum. 10 t  (1)","m-g",95,123.36,135.83,Poland
00000000-0000-0000-0000-000000000001,"12112","ETO","Walec statyczny samojezdny   8 t  (1)","m-g",82.5,112.46,123.96,Poland
00000000-0000-0000-0000-000000000001,"12160","ETO","walec statyczny samojezdny ogumiony","m-g",101.91,136.85,141.44,Poland
00000000-0000-0000-0000-000000000001,"12162","ETO","Walec statyczny samojezdny ogum. 15 t  (1)","m-g",86.88,136.74,159.88,Poland
00000000-0000-0000-0000-000000000001,"12315","ETO","Walec wibracyjny samojezdny 13,0 t (1)","m-g",92.75,146.78,178.92,Poland
00000000-0000-0000-0000-000000000001,"12314","ETO","Walec wibracyjny samojezdny 9,0  t (1)","m-g",80,130.46,150.67,Poland
00000000-0000-0000-0000-000000000001,"12411","ETO","Walec wibracyjny jednoosiowy 0,6 t","m-g",22.36,37.54,47.5,Poland
00000000-0000-0000-0000-000000000001,"12261","ETO","Walec statyczny ci¥gniony ogumiony  6-10 t","m-g",48.5,56.7,63.5,Poland
00000000-0000-0000-0000-000000000001,"12313","ETO","Walec wibracyjny samojezdny 7,5  t (1)","m-g",71.5,106.77,119.93,Poland
00000000-0000-0000-0000-000000000001,"12311","ETO","Walec wibracyjny samojezdny 2,5  t (1)","m-g",61.98,97.53,140.68,Poland
00000000-0000-0000-0000-000000000001,"12622","ETO","Ubijak spalinowy   200 kg","m-g",12.75,20.64,29,Poland
00000000-0000-0000-0000-000000000001,"12521","ETO","Zag©szczarka wibr.spalinowa 70-90 m3/h","m-g",34.24,53.22,60,Poland
00000000-0000-0000-0000-000000000001,"12414","ETO","Walec wibracyjny ci¥gniony gładki 12,0 t","m-g",48.4,53.18,58.5,Poland
00000000-0000-0000-0000-000000000001,"12522","ETO","Zag©szczarka wibr.spalinowa   100 m3/h","m-g",36.25,56.47,62.5,Poland
00000000-0000-0000-0000-000000000001,"13111","ETO","Piła motorowa łaäcuchowa 4,2 KM -komplet","m-g",7.99,12.7,20.54,Poland
00000000-0000-0000-0000-000000000001,"13221","ETO","Pług do kreciego drenowania, bez ci¥gnika","m-g",8.38,9.36,10.5,Poland
00000000-0000-0000-0000-000000000001,"13211","ETO","Pług do rowk¢w drenarskich, bez ci¥gnika","m-g",8.94,9.92,11,Poland
00000000-0000-0000-0000-000000000001,"1324999","ETO","kształtowniki stalowe profilowane U-50x0,60","m",8.5,10.35,12.5,Poland
00000000-0000-0000-0000-000000000001,"13251","ETO","Pług do orki ci¥gniony, bez ci¥gnika","m-g",7.75,9.81,10.85,Poland
00000000-0000-0000-0000-000000000001,"1330400","ETO","Gwoździe budowlane okrągłe gołe różne rozmiary","kg",8.12,10.31,12.5,Poland
00000000-0000-0000-0000-000000000001,"1330500","ETO","Gwoździe budowlane okrągłe ocynkowane różne rozmiary","kg",9,36.99,58.99,Poland
00000000-0000-0000-0000-000000000001,"1331200","ETO","Lina stalowa jednozwita z drutu ocynkowanego 1x19 - fi 5 mm","kg",0.99,3.33,6.67,Poland
00000000-0000-0000-0000-000000000001,"13311","ETO","Glebogryzarka ci¥gniona, bez ci¥gnika","m-g",8.62,11.91,14.31,Poland
00000000-0000-0000-0000-000000000001,"13321","ETO","Frezerka do gruntu ci¥gniona, bez ci¥gnika","m-g",7.3,10.02,11,Poland
00000000-0000-0000-0000-000000000001,"13331","ETO","Brona talerzowa, bez ci¥gnika","m-g",7.25,9.39,10.37,Poland
00000000-0000-0000-0000-000000000001,"13392","ETO","Wł¢ka ł¥kowa","m-g",4.89,5.78,7.5,Poland
00000000-0000-0000-0000-000000000001,"13362","ETO","Siewnik do nawoz¢w, bez ci¥gnika","m-g",3.6,6.37,7.5,Poland
00000000-0000-0000-0000-000000000001,"13361","ETO","Siewnik do nasion traw, bez ci¥gnika","m-g",3.5,6.15,7.75,Poland
00000000-0000-0000-0000-000000000001,"13351","ETO","Wał ł¥kowy","m-g",3.5,5.68,7.25,Poland
00000000-0000-0000-0000-000000000001,"13421","ETO","Kosiarka rotacyjna ci¥gniona, bez ci¥gnika","m-g",6.23,9.93,11,Poland
00000000-0000-0000-0000-000000000001,"1343799","ETO","blachowkręty","szt.",0.12,0.16,0.22,Poland
00000000-0000-0000-0000-000000000001,"13612","ETO","Koparka łaäc.do row¢w kabl. 37kW [50KM](1)","m-g",65.97,98.19,110.55,Poland
00000000-0000-0000-0000-000000000001,"13613","ETO","Koparka drenarska ETC-202 40 kW (54 KM) (1)","m-g",78.7,87.35,92.33,Poland
00000000-0000-0000-0000-000000000001,"13711","ETO","Piaskarka samochodowa (1)","m-g",57.67,81.99,93.06,Poland
00000000-0000-0000-0000-000000000001,"13622","ETO","Maszyna do bezrowkowego drenowania 82-118 kW (111-160 KM) (1)","m-g",168.64,183.56,194.93,Poland
00000000-0000-0000-0000-000000000001,"14121","ETO","Pompa przeponowa spalinowa do 35m3","m-g",8.88,12.41,15.52,Poland
00000000-0000-0000-0000-000000000001,"14253","ETO","Pompa wirnikowa spalinowa   61-80 m3/h","m-g",14.25,22.2,32.56,Poland
00000000-0000-0000-0000-000000000001,"14411","ETO","Pompa gł©binowa-elektryczna do 240 m3/h","m-g",10.18,14.83,17.38,Poland
00000000-0000-0000-0000-000000000001,"1478101","ETO","Masa uszczelniająca z tw. sztucznych - silikon budowlany","kg",23.9,24.9,25.9,Poland
00000000-0000-0000-0000-000000000001,"1480216","ETO","Domieszka uplastyczniająca do betonu Hydrostop-Plast","kg",12.8,22.1,31.4,Poland
00000000-0000-0000-0000-000000000001,"1478500","ETO","Pianka uszczelniająca z tw. sztucznych - poliuretanowa","l",21.79,32.07,43.05,Poland
00000000-0000-0000-0000-000000000001,"14632","ETO","Pompa wysokocin.hydr.elektr.250 at","m-g",10,13.25,15.5,Poland
00000000-0000-0000-0000-000000000001,"1480522","ETO","Impregnat ochronny, hydrofobowy HYDROMUR-W 1010","l",28.06,30.83,33.6,Poland
00000000-0000-0000-0000-000000000001,"1510101","ETO","Emalia ftalowa modyfikowana ogólnego stosowania, brązowa","l",19.99,77.93,135.88,Poland
00000000-0000-0000-0000-000000000001,"1510103","ETO","Emalia ftalowa modyfikowana ogólnego stosowania, czarna","l",19.99,26.9,33.8,Poland
00000000-0000-0000-0000-000000000001,"1510100","ETO","Emalia ftalowa modyfikowana ogólnego stosowania, biała","l",19.99,25.87,30.75,Poland
00000000-0000-0000-0000-000000000001,"1511100","ETO","Farba ftalowa do gruntowania przeciwrdzewna, czarna","l",16.1,28.75,41.4,Poland
00000000-0000-0000-0000-000000000001,"1510899","ETO","farby emulsyjne nawierzchniowe","dm3",8,10.5,14,Poland
00000000-0000-0000-0000-000000000001,"1511799","ETO","farba olejna nawierzchniowa","dm3",22,26.5,32,Poland
00000000-0000-0000-0000-000000000001,"1511599","ETO","farba olejna do gruntowania","dm3",18,21.5,26,Poland
00000000-0000-0000-0000-000000000001,"1530200","ETO","Pasta do pielęgnacji podłóg bezbarwna","kg",12.6,76.99,315.86,Poland
00000000-0000-0000-0000-000000000001,"1530199","ETO","Mydła techniczne","kg",8.49,9.55,10.61,Poland
00000000-0000-0000-0000-000000000001,"1530502","ETO","Rozcieńczalnik do wyrobów lakierowych, uniwersalny","l",7,30.83,71.22,Poland
00000000-0000-0000-0000-000000000001,"15315","ETO","Zestaw wiertniczy na samoch.152-406/50m(2)","m-g",74,105.97,125,Poland
00000000-0000-0000-0000-000000000001,"15411","ETO","Zestaw wiertniczy na ci¥gn.koł.600mm/1m(1)","m-g",57.5,82.08,95,Poland
00000000-0000-0000-0000-000000000001,"1550402","ETO","Klej kostny extra","kg",40,52,69.99,Poland
00000000-0000-0000-0000-000000000001,"1560113","ETO","Słupek kierujący U-21, folia I gen. z podstawą","szt.",56.7,145.52,286.22,Poland
00000000-0000-0000-0000-000000000001,"1602003","ETO","piasek do zapraw","m3",29,33,37,Poland
00000000-0000-0000-0000-000000000001,"1690000","ETO","Gruz ceglany","m3",29.99,189.99,350,Poland
00000000-0000-0000-0000-000000000001,"1701100","ETO","cement portlandzki z dodatkami 25","t",420,495,580,Poland
00000000-0000-0000-0000-000000000001,"1720200","ETO","wapno suchogaszone","kg",0.45,0.54,0.65,Poland
00000000-0000-0000-0000-000000000001,"1740103","ETO","gips szpachlowy","t",850,980,1150,Poland
00000000-0000-0000-0000-000000000001,"1820000","ETO","Dachówka ceramiczna holenderka (esówka)","szt.",0.8,14.46,50.2,Poland
00000000-0000-0000-0000-000000000001,"1750803","ETO","Płyta gipsowo-kartonowa, zwykła grubości 12,5 mm (GKB)","m2 ozn.",9.61,29.9,50.43,Poland
00000000-0000-0000-0000-000000000001,"1800199","ETO","cegła budowlana pełna","szt.",1.48,1.87,2.26,Poland
00000000-0000-0000-0000-000000000001,"2030101","ETO","Słupek żelbetowy ogrodzeniowy o wym. 10x10x200 cm","szt.",24,47,70,Poland
00000000-0000-0000-0000-000000000001,"2030102","ETO","Słupek żelbetowy ogrodzeniowy o wym. 12x12x200 cm","szt.",25.99,48.99,72,Poland
00000000-0000-0000-0000-000000000001,"21813","ETO","Wibromłot z pulpitem sterowniczym 10kW","m-g",25.5,30.86,34.5,Poland
00000000-0000-0000-0000-000000000001,"21811","ETO","Wibromłot elektr.lub spalin.do   3kW [4KM]","m-g",6.75,9.95,23.62,Poland
00000000-0000-0000-0000-000000000001,"2220701","ETO","Płyta drogowa betonowa ściekowa typu korytkowego o wym. 60x50x20 cm","szt.",27.9,42.86,57.81,Poland
00000000-0000-0000-0000-000000000001,"2300110","ETO","Emulsja asfaltowa","kg",7.98,14.74,21.5,Poland
00000000-0000-0000-0000-000000000001,"2310499","ETO","płyty z wełny mineralnej","m2",35,44,55,Poland
00000000-0000-0000-0000-000000000001,"2307020","ETO","Dachówka bitumiczna - różne kształty i wzory","m2 ozn.",15,39.99,54.99,Poland
00000000-0000-0000-0000-000000000001,"2370606","ETO","Beton zwykły z kruszywa naturalnego C20/25 (B-25)","m3",316,402.61,421,Poland
00000000-0000-0000-0000-000000000001,"2370604","ETO","Beton zwykły z kruszywa naturalnego C12/15 (B-15)","m3",340,375,410,Poland
00000000-0000-0000-0000-000000000001,"2370602","ETO","Beton zwykły z kruszywa naturalnego C8/10 (B-10)","m3",300,315,346,Poland
00000000-0000-0000-0000-000000000001,"2370699","ETO","beton zwykły z kruszywa naturalnego","m3",320,365,420,Poland
00000000-0000-0000-0000-000000000001,"2380815","ETO","Zaprawa budowlana zwykła cementowo-wapienna M-7","m3",298,311,324,Poland
00000000-0000-0000-0000-000000000001,"2380807","ETO","Zaprawa budowlana zwykła cementowa M-7","m3",298,311,324,Poland
00000000-0000-0000-0000-000000000001,"2380417","ETO","Zaprawa naprawcza cementowo-polimerowa (PCC) nakładana natryskowo do reprofilacji ubytków głębokości do 80 mm","kg",1.69,2.62,3.56,Poland
00000000-0000-0000-0000-000000000001,"2380899","ETO","zaprawa","m3",300,345,400,Poland
00000000-0000-0000-0000-000000000001,"2520199","ETO","płytki z kamieni sztucznych","m2",45,62,85,Poland
00000000-0000-0000-0000-000000000001,"2600619","ETO","Deski iglaste obrzynane grubości 19-25 mm, kl. III","m3",574.13,912.72,1800,Poland
00000000-0000-0000-0000-000000000001,"2600621","ETO","Deski iglaste obrzynane grubości 28-45 mm, kl. II","m3",887.93,943.1,998.26,Poland
00000000-0000-0000-0000-000000000001,"2600620","ETO","Deski iglaste obrzynane grubości 28-45 mm, kl. I","m3",1152.2,1152.2,1152.2,Poland
00000000-0000-0000-0000-000000000001,"2600622","ETO","Deski iglaste obrzynane grubości 28-45 mm, kl. III","m3",672.83,672.83,672.83,Poland
00000000-0000-0000-0000-000000000001,"2640612","ETO","Deski iglaste obrzynane, nasycone grubości 19-25 mm, kl. II","m3",912.72,1537.5,1800,Poland
00000000-0000-0000-0000-000000000001,"2640611","ETO","Deski iglaste obrzynane, nasycone grubości 19-25 mm, kl. III","m3",574.13,627.94,681.75,Poland
00000000-0000-0000-0000-000000000001,"2641810","ETO","Krawędziaki iglaste, nasycone, wymiarowe kl. II","m3",810,930,1050,Poland
00000000-0000-0000-0000-000000000001,"2640900","ETO","Drewno iglaste okrągłe, korowane, nasycone na stemple","m3",310.21,487.94,665.66,Poland
00000000-0000-0000-0000-000000000001,"2651010","ETO","Płyta pilśniowa porowata, bitumowana, grubości 12,5 mm","m2 ozn.",13.14,16.8,18.45,Poland
00000000-0000-0000-0000-000000000001,"28252","ETO","¢d« ci©¾arowa 25 t","m-g",13.01,14.25,18.65,Poland
00000000-0000-0000-0000-000000000001,"28312","ETO","Krypa 60 t  (1)","m-g",236.47,270.59,372.24,Poland
00000000-0000-0000-0000-000000000001,"31114","ETO","½uraw samochodowy     5-6 t  (1)","m-g",82.5,119.69,141,Poland
00000000-0000-0000-0000-000000000001,"31112","ETO","½uraw samochodowy    do 4 t  (1)","m-g",74.92,108.17,131,Poland
00000000-0000-0000-0000-000000000001,"31212","ETO","½uraw samojezdny kołowy  do 5 t  (1)","m-g",52.43,100.97,113.74,Poland
00000000-0000-0000-0000-000000000001,"34000","ETO","wyciąg","m-g",12.56,22,41.85,Poland
00000000-0000-0000-0000-000000000001,"32100","ETO","żuraw wieżowy","m-g",58.97,118.29,135.61,Poland
